Confirmed;Country/Region;Date;Deaths;Lat;Long;Anzahl der Datensätze;Province/State;Recovered
0;Afghanistan;22.01.2020;0;33.0;65.0;1;;0
0;Afghanistan;23.01.2020;0;33.0;65.0;1;;0
0;Afghanistan;24.01.2020;0;33.0;65.0;1;;0
0;Afghanistan;25.01.2020;0;33.0;65.0;1;;0
0;Afghanistan;26.01.2020;0;33.0;65.0;1;;0
0;Afghanistan;27.01.2020;0;33.0;65.0;1;;0
0;Afghanistan;28.01.2020;0;33.0;65.0;1;;0
0;Afghanistan;29.01.2020;0;33.0;65.0;1;;0
0;Afghanistan;30.01.2020;0;33.0;65.0;1;;0
0;Afghanistan;31.01.2020;0;33.0;65.0;1;;0
0;Afghanistan;01.02.2020;0;33.0;65.0;1;;0
0;Afghanistan;10.02.2020;0;33.0;65.0;1;;0
0;Afghanistan;11.02.2020;0;33.0;65.0;1;;0
0;Afghanistan;12.02.2020;0;33.0;65.0;1;;0
0;Afghanistan;13.02.2020;0;33.0;65.0;1;;0
0;Afghanistan;14.02.2020;0;33.0;65.0;1;;0
0;Afghanistan;15.02.2020;0;33.0;65.0;1;;0
0;Afghanistan;16.02.2020;0;33.0;65.0;1;;0
0;Afghanistan;17.02.2020;0;33.0;65.0;1;;0
0;Afghanistan;18.02.2020;0;33.0;65.0;1;;0
0;Afghanistan;19.02.2020;0;33.0;65.0;1;;0
0;Afghanistan;02.02.2020;0;33.0;65.0;1;;0
0;Afghanistan;20.02.2020;0;33.0;65.0;1;;0
0;Afghanistan;21.02.2020;0;33.0;65.0;1;;0
0;Afghanistan;22.02.2020;0;33.0;65.0;1;;0
0;Afghanistan;23.02.2020;0;33.0;65.0;1;;0
1;Afghanistan;24.02.2020;0;33.0;65.0;1;;0
1;Afghanistan;25.02.2020;0;33.0;65.0;1;;0
1;Afghanistan;26.02.2020;0;33.0;65.0;1;;0
1;Afghanistan;27.02.2020;0;33.0;65.0;1;;0
1;Afghanistan;28.02.2020;0;33.0;65.0;1;;0
1;Afghanistan;29.02.2020;0;33.0;65.0;1;;0
0;Afghanistan;03.02.2020;0;33.0;65.0;1;;0
0;Afghanistan;04.02.2020;0;33.0;65.0;1;;0
0;Afghanistan;05.02.2020;0;33.0;65.0;1;;0
0;Afghanistan;06.02.2020;0;33.0;65.0;1;;0
0;Afghanistan;07.02.2020;0;33.0;65.0;1;;0
0;Afghanistan;08.02.2020;0;33.0;65.0;1;;0
0;Afghanistan;09.02.2020;0;33.0;65.0;1;;0
1;Afghanistan;01.03.2020;0;33.0;65.0;1;;0
5;Afghanistan;10.03.2020;0;33.0;65.0;1;;0
7;Afghanistan;11.03.2020;0;33.0;65.0;1;;0
7;Afghanistan;12.03.2020;0;33.0;65.0;1;;0
7;Afghanistan;13.03.2020;0;33.0;65.0;1;;0
11;Afghanistan;14.03.2020;0;33.0;65.0;1;;0
16;Afghanistan;15.03.2020;0;33.0;65.0;1;;0
21;Afghanistan;16.03.2020;0;33.0;65.0;1;;1
22;Afghanistan;17.03.2020;0;33.0;65.0;1;;1
22;Afghanistan;18.03.2020;0;33.0;65.0;1;;1
22;Afghanistan;19.03.2020;0;33.0;65.0;1;;1
1;Afghanistan;02.03.2020;0;33.0;65.0;1;;0
24;Afghanistan;20.03.2020;0;33.0;65.0;1;;1
24;Afghanistan;21.03.2020;0;33.0;65.0;1;;1
40;Afghanistan;22.03.2020;1;33.0;65.0;1;;1
40;Afghanistan;23.03.2020;1;33.0;65.0;1;;1
74;Afghanistan;24.03.2020;1;33.0;65.0;1;;1
84;Afghanistan;25.03.2020;2;33.0;65.0;1;;2
94;Afghanistan;26.03.2020;4;33.0;65.0;1;;2
110;Afghanistan;27.03.2020;4;33.0;65.0;1;;2
110;Afghanistan;28.03.2020;4;33.0;65.0;1;;2
120;Afghanistan;29.03.2020;4;33.0;65.0;1;;2
1;Afghanistan;03.03.2020;0;33.0;65.0;1;;0
170;Afghanistan;30.03.2020;4;33.0;65.0;1;;2
174;Afghanistan;31.03.2020;4;33.0;65.0;1;;5
1;Afghanistan;04.03.2020;0;33.0;65.0;1;;0
1;Afghanistan;05.03.2020;0;33.0;65.0;1;;0
1;Afghanistan;06.03.2020;0;33.0;65.0;1;;0
1;Afghanistan;07.03.2020;0;33.0;65.0;1;;0
4;Afghanistan;08.03.2020;0;33.0;65.0;1;;0
4;Afghanistan;09.03.2020;0;33.0;65.0;1;;0
0;Albania;22.01.2020;0;41.1533;20.1683;1;;0
0;Albania;23.01.2020;0;41.1533;20.1683;1;;0
0;Albania;24.01.2020;0;41.1533;20.1683;1;;0
0;Albania;25.01.2020;0;41.1533;20.1683;1;;0
0;Albania;26.01.2020;0;41.1533;20.1683;1;;0
0;Albania;27.01.2020;0;41.1533;20.1683;1;;0
0;Albania;28.01.2020;0;41.1533;20.1683;1;;0
0;Albania;29.01.2020;0;41.1533;20.1683;1;;0
0;Albania;30.01.2020;0;41.1533;20.1683;1;;0
0;Albania;31.01.2020;0;41.1533;20.1683;1;;0
0;Albania;01.02.2020;0;41.1533;20.1683;1;;0
0;Albania;10.02.2020;0;41.1533;20.1683;1;;0
0;Albania;11.02.2020;0;41.1533;20.1683;1;;0
0;Albania;12.02.2020;0;41.1533;20.1683;1;;0
0;Albania;13.02.2020;0;41.1533;20.1683;1;;0
0;Albania;14.02.2020;0;41.1533;20.1683;1;;0
0;Albania;15.02.2020;0;41.1533;20.1683;1;;0
0;Albania;16.02.2020;0;41.1533;20.1683;1;;0
0;Albania;17.02.2020;0;41.1533;20.1683;1;;0
0;Albania;18.02.2020;0;41.1533;20.1683;1;;0
0;Albania;19.02.2020;0;41.1533;20.1683;1;;0
0;Albania;02.02.2020;0;41.1533;20.1683;1;;0
0;Albania;20.02.2020;0;41.1533;20.1683;1;;0
0;Albania;21.02.2020;0;41.1533;20.1683;1;;0
0;Albania;22.02.2020;0;41.1533;20.1683;1;;0
0;Albania;23.02.2020;0;41.1533;20.1683;1;;0
0;Albania;24.02.2020;0;41.1533;20.1683;1;;0
0;Albania;25.02.2020;0;41.1533;20.1683;1;;0
0;Albania;26.02.2020;0;41.1533;20.1683;1;;0
0;Albania;27.02.2020;0;41.1533;20.1683;1;;0
0;Albania;28.02.2020;0;41.1533;20.1683;1;;0
0;Albania;29.02.2020;0;41.1533;20.1683;1;;0
0;Albania;03.02.2020;0;41.1533;20.1683;1;;0
0;Albania;04.02.2020;0;41.1533;20.1683;1;;0
0;Albania;05.02.2020;0;41.1533;20.1683;1;;0
0;Albania;06.02.2020;0;41.1533;20.1683;1;;0
0;Albania;07.02.2020;0;41.1533;20.1683;1;;0
0;Albania;08.02.2020;0;41.1533;20.1683;1;;0
0;Albania;09.02.2020;0;41.1533;20.1683;1;;0
0;Albania;01.03.2020;0;41.1533;20.1683;1;;0
